CustomerID,1st Similar,2nd Similar,3rd Similar
C0001,"('C0152', np.float64(1.0))","('C0137', np.float64(1.0))","('C0181', np.float64(1.0))"
C0002,"('C0178', np.float64(1.0))","('C0162', np.float64(1.0))","('C0161', np.float64(1.0))"
C0003,"('C0198', np.float64(1.0))","('C0029', np.float64(1.0))","('C0009', np.float64(1.0))"
C0004,"('C0024', np.float64(1.0))","('C0026', np.float64(1.0))","('C0155', np.float64(1.0))"
C0005,"('C0178', np.float64(1.0))","('C0162', np.float64(1.0))","('C0161', np.float64(1.0))"
C0006,"('C0047', np.float64(1.0))","('C0055', np.float64(1.0))","('C0039', np.float64(1.0))"
C0007,"('C0178', np.float64(1.0))","('C0162', np.float64(1.0))","('C0161', np.float64(1.0))"
C0008,"('C0019', np.float64(1.0))","('C0079', np.float64(1.0))","('C0061', np.float64(1.0))"
C0009,"('C0085', np.float64(1.0))","('C0003', np.float64(1.0))","('C0029', np.float64(1.0))"
C0010,"('C0012', np.float64(1.0))","('C0185', np.float64(1.0))","('C0171', np.float64(1.0))"
C0011,"('C0107', np.float64(1.0))","('C0030', np.float64(1.0))","('C0158', np.float64(1.0))"
C0012,"('C0026', np.float64(1.0))","('C0171', np.float64(1.0))","('C0010', np.float64(1.0))"
C0013,"('C0096', np.float64(1.0))","('C0199', np.float64(1.0))","('C0117', np.float64(1.0))"
C0014,"('C0083', np.float64(1.0))","('C0032', np.float64(1.0))","('C0077', np.float64(1.0))"
C0015,"('C0144', np.float64(1.0))","('C0025', np.float64(1.0))","('C0094', np.float64(1.0))"
C0016,"('C0183', np.float64(1.0))","('C0197', np.float64(1.0))","('C0194', np.float64(1.0))"
C0017,"('C0057', np.float64(0.9999))","('C0170', np.float64(0.9999))","('C0105', np.float64(1.0))"
C0018,"('C0103', np.float64(1.0))","('C0188', np.float64(1.0))","('C0166', np.float64(1.0))"
C0019,"('C0172', np.float64(1.0))","('C0087', np.float64(1.0))","('C0104', np.float64(1.0))"
C0020,"('C0025', np.float64(1.0))","('C0095', np.float64(1.0))","('C0071', np.float64(1.0))"
